[  578.212942] motor_ctrl: Removing motor_ctrl module
[  581.318319] motor_ctrl: Inserting module...
[  581.428837] motor_ctrl: Inserting module successful.
[  601.452251]  Jitter 19996378 
[  601.452256]  Jitter 20004087 
[  601.452263]  Jitter 19999711 
[  601.452268]  Jitter 20003670 
[  601.452274]  Jitter 19992889 
[  601.452279]  Jitter 20003930 
[  601.452284]  Jitter 19999556 
[  601.452290]  Jitter 19999867 
[  601.452295]  Jitter 19996379 
[  601.452301]  Jitter 20000024 
[  601.452306]  Jitter 20004190 
[  601.452311]  Jitter 19999347 
[  601.452318]  Jitter 19996326 
[  601.452323]  Jitter 20003931 
[  601.452329]  Jitter 19999607 
[  601.452335]  Jitter 20000128 
[  601.452340]  Jitter 19996379 
[  601.452345]  Jitter 20004086 
[  601.452351]  Jitter 19999660 
[  601.452356]  Jitter 20000284 
[  601.452363]  Jitter 19996014 
[  601.452368]  Jitter 20003826 
[  601.452373]  Jitter 19999920 
[  601.452379]  Jitter 19996222 
[  601.452384]  Jitter 19999972 
[  601.452390]  Jitter 20004243 
[  601.452395]  Jitter 19999399 
[  601.452400]  Jitter 20000128 
[  601.452407]  Jitter 19998930 
[  601.452412]  Jitter 20005701 
[  601.452417]  Jitter 19995597 
[  601.452424]  Jitter 19999815 
[  601.452429]  Jitter 19996221 
[  601.452434]  Jitter 20003670 
[  601.452440]  Jitter 19996377 
[  601.452445]  Jitter 20005388 
[  601.452451]  Jitter 19994555 
[  601.452457]  Jitter 20003930 
[  601.452462]  Jitter 19999867 
[  601.452468]  Jitter 19999920 
[  601.452474]  Jitter 19996482 
[  601.452481]  Jitter 20003825 
[  601.452486]  Jitter 20000232 
[  601.452492]  Jitter 19999346 
[  601.452498]  Jitter 19996378 
[  601.452504]  Jitter 20003930 
[  601.452511]  Jitter 19999659 
[  601.452517]  Jitter 20000075 
[  601.452522]  Jitter 19996326 
[  601.452527]  Jitter 20003982 
[  601.452533]  Jitter 19999815 
[  601.452539]  Jitter 19999972 
[  601.452544]  Jitter 19996273 
[  601.452550]  Jitter 20003982 
[  601.452555]  Jitter 20004971 
[  601.452561]  Jitter 19995076 
[  601.452566]  Jitter 19995961 
[  601.452571]  Jitter 20004086 
[  601.452576]  Jitter 19999555 
[  601.452581]  Jitter 19996325 
[  601.452588]  Jitter 19999972 
[  601.452593]  Jitter 20003930 
[  601.452600]  Jitter 20000284 
[  601.452605]  Jitter 19999450 
[  601.452610]  Jitter 19996378 
[  601.452616]  Jitter 20004034 
[  601.452621]  Jitter 19999607 
[  601.452626]  Jitter 20000023 
[  601.452631]  Jitter 19996378 
[  601.452637]  Jitter 20003930 
[  601.452643]  Jitter 20000180 
[  601.452649]  Jitter 19999606 
[  601.452654]  Jitter 19996222 
[  601.452659]  Jitter 20003878 
[  601.452665]  Jitter 19999971 
[  601.452670]  Jitter 19999815 
[  601.452676]  Jitter 19996482 
[  601.452681]  Jitter 20003930 
[  601.452687]  Jitter 19999607 
[  601.452693]  Jitter 19998304 
[  601.452698]  Jitter 19998253 
[  601.452703]  Jitter 20005439 
[  601.452709]  Jitter 19998252 
[  601.452714]  Jitter 19999815 
[  601.452719]  Jitter 19996377 
[  601.452724]  Jitter 20004086 
[  601.452730]  Jitter 19999606 
[  601.452735]  Jitter 20000075 
[  601.452740]  Jitter 19996169 
[  601.452746]  Jitter 20003981 
[  601.452752]  Jitter 19999711 
[  601.452757]  Jitter 19999971 
[  601.452763]  Jitter 19997992 
[  601.452768]  Jitter 20007783 
[  601.452774]  Jitter 20017002 
[  601.452779]  Jitter 19997732 
[  601.452785]  Jitter 19995700 
[  601.452790]  Jitter 19996898 
[  601.452796]  Jitter 19989918 
[  601.452802]  Jitter 19999763 
[  601.452807]  Jitter 19998460 
[  601.452812]  Jitter 19998721 
[  601.452818]  Jitter 19996482 
[  601.452824]  Jitter 20020804 
[  601.452829]  Jitter 19998929 
[  601.452834]  Jitter 20001794 
[  601.452839]  Jitter 19995284 
[  601.452845]  Jitter 19991012 
[  601.452852]  Jitter 19999450 
[  601.452857]  Jitter 19997107 
[  601.452862]  Jitter 20015387 
[  601.452868]  Jitter 20008773 
[  601.452873]  Jitter 20004398 
[  601.452879]  Jitter 19975544 
[  601.452884]  Jitter 19999502 
[  601.452890]  Jitter 20015232 
[  601.452896]  Jitter 19996220 
[  601.452901]  Jitter 20001378 
[  601.452906]  Jitter 19980595 
[  601.452912]  Jitter 20000128 
[  601.452918]  Jitter 20010491 
[  601.452923]  Jitter 19996638 
[  601.452928]  Jitter 19998148 
[  601.452933]  Jitter 19996794 
[  601.452940]  Jitter 20000023 
[  601.452945]  Jitter 19999867 
[  601.452951]  Jitter 19999971 
[  601.452957]  Jitter 20000127 
[  601.452962]  Jitter 19999866 
[  601.452967]  Jitter 20004242 
[  601.452973]  Jitter 19996221 
[  601.452979]  Jitter 20001480 
[  601.452985]  Jitter 20009138 
[  601.452990]  Jitter 19991428 
[  601.452995]  Jitter 19993929 
[  601.453001]  Jitter 20004606 
[  601.453006]  Jitter 19995335 
[  601.453012]  Jitter 20004137 
[  601.453017]  Jitter 19999606 
[  601.453022]  Jitter 20000178 
[  601.453029]  Jitter 19998877 
[  601.453034]  Jitter 19998356 
[  601.453040]  Jitter 20008564 
[  601.453046]  Jitter 19999137 
[  601.453051]  Jitter 19999033 
[  601.453056]  Jitter 19998460 
[  601.453063]  Jitter 19993877 
[  601.453068]  Jitter 20006481 
[  601.453074]  Jitter 19999866 
[  601.453079]  Jitter 19999501 
[  601.453084]  Jitter 20000596 
[  601.453090]  Jitter 19993408 
[  601.453095]  Jitter 20003772 
[  601.453101]  Jitter 19999710 
[  601.453106]  Jitter 20001221 
[  601.453111]  Jitter 19995230 
[  601.453118]  Jitter 20020700 
[  601.453123]  Jitter 19988200 
[  601.453129]  Jitter 19999657 
[  601.453135]  Jitter 19991846 
